Location,ULCS No.,ID,Date Report Issued,Location (Room/Area),,Recommended Corrective Action,Category,Respon-sibility*,Notes,Status,"Date of
Update",Location Closed,Start Date,End Date
Penrose LSH   ,1441,22,6/6/12,Room 11     (carpeting),,The B.E. reported water leaks through the roof decking impacting the carpeting along the window wall.  Remove carpeting and replace with vinyl composite floor tile.   ,Mold/Moisture,M,,closed,9/17/12,NO,,
Penrose LSH   ,1441,23,6/6/12,Room 7     (carpeting),,Areas of the carpeting along the window wall in this room were saturated during the evaluation. Remove carpeting and replace with vinyl composite floor tile.  ,Mold/Moisture,M,,closed,9/17/12,NO,,
Penrose LSH   ,1441,24,6/6/12,Room 9      (carpeting),,Water staining and elevated moisture content was detected on the carpeting along the classroom window wall. Remove carpeting and replace with vinyl composite floor tile.,Mold/Moisture,M,,closed,9/17/12,NO,,
Penrose LSH   ,1441,25,6/6/12,  Room 9    (mechanical closet),,Water stained and missing ceiling tiles were observed in the mechanical closet. Replace the water stained ceiling tiles and monitor area.  New staining should be reported for evaluation and repair.,Mold/Moisture,F,,open,6/6/12,NO,,
Penrose LSH   ,1441,26,6/6/12,Penrose LSH   Room 1           (walls),, Water staining was observed along the top of the wall under the roof decking.  Repaint water damaged and stained areas located along the window wall.,Mold/Moisture,M,,open,6/6/12,NO,,
Penrose LSH    ,1441,27,6/6/12,   (roof),," The B.E. reported an on-going problem with the roof, associated drain lines and gutters for the past several years.  Every time it rains, water seeps through the roof decking along the window walls in the classroom impacting the carpeting and contents along this wall.   Classrooms 1, 3, 4, 5, 7, and 11 leak from the roof decking along the window wall in varying degrees when it rains, depending on the intensity of the rain and wind direction.   Recommendations include further evaluation and repair of the roof, drain line and gutters. Recommendations to replace the carpeting with vinyl floor tile in these classrooms are provided below.

",Mold/Moisture,M,,closed,9/17/12,NO,,
Penrose LSH    ,1441,28,6/6/12,  Room 4     (carpeting),,The B.E. reported water leaks through the roof decking impacting the carpeting along the window wall.  Remove carpeting and replace with vinyl composite floor tile.   ,Mold/Moisture,M,,closed,9/17/12,NO,,
Penrose LSH        ,1441,29,6/6/12, Room 7           (walls),, Water staining was observed along the top of the wall under the roof decking.,Mold/Moisture,M,,open,6/6/12,NO,,
Pepper MS,1150,1,9/15/11,"Art Rooms A, B, C and D",,Remove the lower 2 feet of sheetrock partition walls separating the art rooms.,Mold/Moisture,M,"The Maintenance Department cleared the drain lines in the driveway which backed up resulting in the flood.  A discussion with the PFT building representative, School Principal, Vice Principal and FAC revealed other concerns in the building related to moisture intrusion. ",closed,9/26/11,YES,,
Pepper MS,1150,2,9/15/11,"Art Rooms A, B, C and D Storage Closets",,"Remove contents from the closets, extract standing water and discard impacted porous materials. ",Mold/Moisture,F,"The Maintenance Department cleared the drain lines in the driveway which backed up resulting in the flood.  A discussion with the PFT building representative, School Principal, Vice Principal and FAC revealed other concerns in the building related to moisture intrusion. ",closed,9/15/11,YES,,
Philadelphia Learning Academy North,5030,1,1/24/11,"Office 180, 181, 184 and 186",,Critical barriers should be erected to seal off the entryways to the effected offices utilizing polyethylene sheeting.  The critical barriers shall remain in place upon the completion of the work.  ,Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,2,1/24/11,"Office 180, 181, 184 and 186",,"Remove remaining sheetrock walls, ceiling tiles and fiberglass duct insulation. A high efficiency particulate air (HEPA) filtration unit to perform air scrubbing during the removal process should be utilized.  Upon completion the remaining surfaces should be HEPA vacuumed and wiped clean with a cleaning solution.",Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,3,1/24/11,"Office 180, 181, 184 and 186",,Dehumidification equipment should be introduced to maintain relative humidity levels below 60%.  OEMS can provide assistance with determining the appropriate number of dehumidification units.  The dehumidifiers shall remain in place upon the completion of the work.  ,Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,4,1/24/11,"Office 180, 181, 184 and 186",,The existing water collection system should be improved to prevent water from dripping onto the floor and collecting in pockets in the polyethylene sheeting.,Mold/Moisture,M,"The School District's Maintenance Department installed drainage tarps specifically designed to collect water leaking into a building. A garden hose was connected to the drain fitting on the tarp and was routed to the nearest drain line. Mr. Roseau, BE, will continue to monitor the situation on a daily basis and report any problems with the water collection system to OEMS.  ",closed,2/10/11,NO,,
Philadelphia Learning Academy North,5030,5,1/24/11,"Office 180, 181, 184 and 186",,Isolate the supply and return diffusers associated with the Heating Ventilation and Air Conditioning (HVAC) system.,Ventilation,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,6,1/24/11,"Office 180, 181, 184 and 186",,Air Filtration Devices equipped with a HEPA filtration unit should be fitted to negatively pressurize the area and prevent odors from migrating to the occupied areas. AFDs shall remain in place upon the completion of the work.  ,Ventilation,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,7,3/1/11,Boy's room adjacent to E-4,,Remove and replace the lower 12 inches of sheetrock walls (approximately 11 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,8,3/1/11,E-1,,Remove and replace the lower 12 inches of sheetrock walls (approximately 75 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,9,3/1/11,E-1,,Remove the wall-to-wall carpeting (approximately 300 square feet).,Mold/Moisture,M,Completed 2/25/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,10,3/1/11,E-1 Closet,,Remove and replace the lower 12 inches of sheetrock walls (approximately 30 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,11,3/1/11,E-4,,Remove and replace the lower 12 inches of sheetrock walls (approximately 45 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,12,3/1/11,Hallway adjacent to classroom E-3,,Remove and replace the lower 12 inches of sheetrock walls (approximately 20 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,13,3/1/11,Hallway Storage Room adjacent to Classroom E-1,,Remove and replace the lower 12 inches of sheetrock walls (approximately 30 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,14,3/1/11,Main Hallway,,Remove and replace the lower 12 inches of sheetrock walls (approximately 25 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,15,3/1/11,Vestibule to boy's room ,,Remove and replace the lower 12 inches of sheetrock walls (approximately 3 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,16,3/1/11,Vestibule to girl's room,,Remove and replace the lower 12 inches of sheetrock walls (approximately 9 square feet).,Mold/Moisture,M,Completed 2/28/2011 per KEM.,closed,3/2/11,NO,,
Philadelphia Learning Academy North,5030,17,3/3/11,B-3 Bathroom Vestibule,,Repair the water damaged section of sheetrock ceiling (approximately 4 square feet) once the roof leaks have been stabilized or repaired. ,Mold/Moisture,M,completed per Maintenance,closed,8/30/11,NO,,
Philadelphia Learning Academy North,5030,18,3/3/11,C-4 Bathroom ,,Remove the water-stained sheetrock ceiling (approximately 2 square feet) and associated insulation and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,M,completed per Maintenance,closed,8/30/11,NO,,
Philadelphia Learning Academy North,5030,19,3/3/11,C-4 Bathroom Vestibule,,Remove the moldy carpet and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,M,The carpeting has been removed and replaced with vinyl composite tile.,closed,5/18/11,NO,,
Philadelphia Learning Academy North,5030,20,3/3/11,C-4 Bathroom Vestibule,,Replace the missing section of collapsed sheetrock ceiling (less than 2 square feet) once roof leaks have been stabilized or repaired.,Mold/Moisture,M,The missing section of sheetrock ceiling was replaced at this location.,closed,5/18/11,NO,,
Philadelphia Learning Academy North,5030,21,3/3/11,C-4 Bathroom Vestibule,,Remove the moldy wood panel wall (approximately 4 square feet) and associated insulation. Replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,M,completed per Maintenance,closed,8/30/11,NO,,
Philadelphia Learning Academy North,5030,22,3/3/11,Classroom B-1,,"Until the roof is stabilized or repaired, install drainage tarps for the roof leak. Route the tarp discharge line to the nearest drain. Monitor daily and report problems to OEMS.",Mold/Moisture,F,"On 4/12/11, the BE has reported that the roof repair has been successful and no new leaks have been observed.",closed,4/14/11,NO,,
Philadelphia Learning Academy North,5030,23,3/3/11,Classroom B-1,,Replace the 14 water-stained and missing ceiling tiles. ,Mold/Moisture,F,Completed,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,24,3/3/11,Classroom B-1,,Clean and repaint the 25 square feet of water-stained sheetrock wall adjacent to the hallways once the roof leaks have been stabilized or repaired.,Mold/Moisture,M,closed per Maintenance,closed,8/30/11,NO,,
Philadelphia Learning Academy North,5030,25,3/3/11,Classroom B-1 Closet,,Remove the 5 water-stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed per KEM.,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,26,3/3/11,Classroom B-3,,Remove the 2 water-stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed per KEM.,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,27,3/3/11,Classroom B-4,,Remove the 1 water stained ceiling tile and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed per KEM.,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,28,3/3/11,Classroom C-3,,Remove the 1 water stained ceiling tile and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,29,3/3/11,Classroom C-4,,Remove the 2 water stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,30,3/3/11,Classroom D-1,,Remove the 2 water stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,"This location was observed to have food staining on the tiles, no water stained tiles were observed. ",closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,31,3/3/11,Classroom D-4,,Remove the 2 water stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,Completed,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,32,3/14/11,GSSO Office,,Install a dehumidifier to maintain relative humidity levels below 60%. Route the discharge line to the drain in the HVAC storage area. Install an Air Filtration Device and route the exhaust duct to the HVAC storage area roof top exhaust vent. This vent should run continually. ,Mold/Moisture,M,Completed per KEM.,closed,3/14/10,NO,,
Philadelphia Learning Academy North,5030,33,3/14/11,GSSO Office,,Discard the moldy wooden bookcase.,Mold/Moisture,M,The affected area was cut out and disposed per Robert Stibli.,closed,6/15/11,NO,,
Philadelphia Learning Academy North,5030,34,8/10/11,Classroom D-4,,Replace the hallway paper type sheetrock adjacent to classroom D-4 exhibiting mold growth.,Mold/Moisture,M,The exterior floor drain backed up causing water damage to the sheetrock and carpeting.  The exterior floor drain has been cleared and the carpeting was replaced with vinyl floor tile.,closed,8/10/11,NO,,
Philadelphia Learning Academy North,5030,35,8/10/11,Classroom D-4,,Disinfect and encapsulate the hallway moisture resistant type sheetrock adjacent to classroom D-4.,Mold/Moisture,M,The exterior floor drain backed up causing water damage to the sheetrock and carpeting.  The exterior floor drain has been cleared and the carpeting was replaced with vinyl floor tile.,closed,8/10/11,NO,,
Philadelphia Learning Academy North,5030,36,1/10/13,Classroom C-3,,Repair the roof leak above classroom C-3.,Mold/Moisture,M,Water is leaking from the roof into the entrance of the classroom.,closed,2/7/13,NO,,
Philadelphia Learning Academy North,5030,37,1/10/13,Gym Wall      (adjacent to storage room),,Remove water damaged sheetrock and install drying equipment as specified on the mold DDC issued on 12/14/2012. ,Mold/Moisture,M,Elevated moisture content was detected on the lower 12 inches of the sheetrock walls.  No visible mold growth was observed.,closed,1/10/13,NO,,
Philadelphia Learning Academy North,5030,38,1/10/13,Hallway           (adjacent to 180-186),,Remove water damaged sheetrock and install drying equipment as specified on the mold DDC issued on 12/14/2012. ,Mold/Moisture,M,Elevated moisture content was detected on the lower 12 inches of the sheetrock walls adjacent to rooms 180-186.  No visible mold growth was observed.,closed,1/10/13,NO,,
Philadelphia Learning Academy North,5030,39,1/10/13,Hallway         (between Hall B &C),,Remove water damaged sheetrock and install drying equipment as specified on the mold DDC issued on 12/14/2012. ,Mold/Moisture,M,Elevated moisture content was detected on the lower 12 inches of the sheetrock walls between Hall B and Hall C.  No visible mold growth was observed.,closed,1/10/13,NO,,
Philadelphia Learning Academy North,5030,40,1/10/13,Rooms 180-186,,Remove water damaged sheetrock and install drying equipment as specified on the mold DDC issued on 12/14/2012. ,Mold/Moisture,M,Elevated moisture content was detected on the lower 12 inches of the sheetrock walls.  No visible mold growth was observed.,closed,1/10/13,NO,,
Philadelphia Learning Academy North,5030,41,1/10/13,Storage Room #1,,Remove water damaged sheetrock and install drying equipment as specified on the mold DDC issued on 12/14/2012. ,Mold/Moisture,M,Approximately 5 SF of mold growth and elevated moisture content was detected on the sheetrock walls. The mold growth was limited to 5 SF and elevated moisture content was detected on the lower 2 feet of the sheetrock walls. ,closed,1/10/13,NO,,
Philadelphia Learning Academy North,5030,42,3/3/11,Classroom B-1,,Clean and replace the water-stained ceiling mounted light fixture lenses once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,,open,6/15/11,NO,,
Philadelphia Learning Academy North,5030,43,3/3/11,Classroom D-3,,Remove the 2 water stained ceiling tiles and replace once the roof leaks have been stabilized or repaired.,Mold/Moisture,F,"The ceiling tiles were replaced, however this situation is on-going because the roof is still leaking in this room.",open,6/15/11,NO,,
Philadelphia Learning Academy North,5030,44,1/10/13,Classroom C-3,,Clean or replace the water stained carpet tiles at the entrance to this room.,Mold/Moisture,F,Water staining was observed on the carpet tiles at the entrance to this room form the active roof leak.,open,1/10/13,NO,,
Philadelphia Learning Academy North,5030,45,1/10/13,Roof,,Evaluate and repair the leaking roof located above room 180- 186.,Mold/Moisture,M,The roof above rooms 180 - 186 leaked resulting in water damaged sheetrock walls and mold growth. Closed per 5030-45 report.,closed,7/24/14,NO,,
Philadelphia Learning Academy North,5030,46,1/10/13,Rooms 180-186 (water collection),,Adjust the water collection tarps to prevent water from collecting in pockets.  Remove pieces of ceiling tiles from within the tarps and empty standing water from the trash cans.,Mold/Moisture,M,Standing water and pieces of ceiling tiles were observed in the water collection tarps.  Standing water was also observed in the trash cans used to collect water. Closed per 5030-46 report.,closed,7/24/14,NO,,
Philadelphia Learning Academy North,5030,47,1/10/13,Storage Room #1,,Repair roof leak at this location or relocate the electric panel and hot water tank or install a drainage collection tarp under the metal decking to collect and channel the water away from the electrical panel and hot water heater.,Safety,M,Water from the roof is leaking on the electrical panel and electric hot water heater. Closed per 5030-47 report.  ,closed,7/24/14,NO,,
Philadelphia Learning Academy North,5030,48,1/24/11,GSSA Office ,,Remove approximately 80 square feet of sheetrock wall from the wooden bookcase to the file cabinet in the GSSA office.,Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,49,1/24/11,GSSA Office ,,Remove approximately 300 square feet of water damaged carpet tiles in the GSSA office.,Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,50,1/24/11,HVAC Storage Room,,Remove approximately 60 square feet of sheetrock wall in the HVAC storage area adjacent to the GSSA office.,Mold/Moisture,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,51,1/24/11,"Office 180, 181, 184, 185 and 186",,Routine inspections should be performed by Maintenance and OEMS to ensure the engineering controls are effective and to address any building occupant concerns during this process.,Point Source,M,Completed per KEM.,closed,1/24/11,NO,,
Philadelphia Learning Academy North,5030,52,8/25/14,C1 and C4 Restrooms,,Align the hot water tank pressure relief discharge with the drain located above the C1 and C4 restrooms.,Mold/Moisture,M,The hot water tank pressure relief discharge was not in line with the drain. This resulted in water damage and mold growth on gypsum ceilings.,open,8/25/14,NO,,
Philadelphia Learning Academy North,5030,53,8/25/14,C1 and C4 Restrooms,,A mold Design Data Collection  (DDC) package was issued on 8/19/2014.,Mold/Moisture,M,Mold growth was observed and elevated moisture content was detected on the gypsum ceilings.,open,8/25/14,NO,,
Pickett  Mastery Charter School,6150,1,9/15/11,"Head Start Classrooms 1, 2 and 3",,"Remove the lower 2 feet of sheetrock walls around the perimeter of Head Start classrooms 1,2 and 3.",Mold/Moisture,M,"Elevated moisture readings were detected on the sheetrock walls in the Head Start classrooms.   A flood that occurred from a blocked drain located in the driveway causing damage to interior finishes on the ground floor.  Water overflowed from the elevator pit releasing an oily sheen in some areas of the ground floor.  The Mastery Charter Maintenance Staff reported they will be removing the standing water and the oily sheen released from the elevator pit.  The oily sheen from the elevator pit was limited to the Head Start Bathroom and hallway area, the girl’s locker room and the hallway outside Head Start Room 1.  They will also clear, inspect and make any repairs necessary to the drain located in the driveway. The remaining work in the Head Start Classrooms and Head Start Hallway, as we understand it, should be completed by the School District’s Maintenance Department.",closed,3/27/12,YES,,
Pickett  Mastery Charter School,6150,2,9/15/11,"Head Start Classrooms 1, 2 and 3",,Remove the wall-to-wall carpeting in the Head Start classrooms.,Mold/Moisture,M,"The wall-to-wall carpeting in the Head Start classrooms was saturated with water.   A flood that occurred from a blocked drain located in the driveway causing damage to interior finishes on the ground floor.  Water overflowed from the elevator pit releasing an oily sheen in some areas of the ground floor.  The Mastery Charter Maintenance Staff reported they will be removing the standing water and the oily sheen released from the elevator pit.  The oily sheen from the elevator pit was limited to the Head Start Bathroom and hallway area, the girl’s locker room and the hallway outside Head Start Room 1.  They will also clear, inspect and make any repairs necessary to the drain located in the driveway. The remaining work in the Head Start Classrooms and Head Start Hallway, as we understand it, should be completed by the School District’s Maintenance Department.",closed,3/27/12,YES,,
Pickett  Mastery Charter School,6150,3,9/15/11,"Head Start Classrooms 1, 2 and 3",,The story time area carpets should be dried and steam cleaned.,Mold/Moisture,M,"The story time area carpets in the Head Start classrooms were saturated with water.   A flood that occurred from a blocked drain located in the driveway causing damage to interior finishes on the ground floor.  Water overflowed from the elevator pit releasing an oily sheen in some areas of the ground floor.  The Mastery Charter Maintenance Staff reported they will be removing the standing water and the oily sheen released from the elevator pit.  The oily sheen from the elevator pit was limited to the Head Start Bathroom and hallway area, the girl’s locker room and the hallway outside Head Start Room 1.  They will also clear, inspect and make any repairs necessary to the drain located in the driveway. The remaining work in the Head Start Classrooms and Head Start Hallway, as we understand it, should be completed by the School District’s Maintenance Department.",closed,3/27/12,YES,,
Pickett  Mastery Charter School,6150,4,9/15/11,Head Start Hallway,,Remove the lower 2 feet of sheetrock walls around the perimeter of Head Start hallway.,Mold/Moisture,M,"Elevated moisture readings were detected on the sheetrock walls in the Head Start hallway.   A flood that occurred from a blocked drain located in the driveway causing damage to interior finishes on the ground floor.  Water overflowed from the elevator pit releasing an oily sheen in some areas of the ground floor.  The Mastery Charter Maintenance Staff reported they will be removing the standing water and the oily sheen released from the elevator pit.  The oily sheen from the elevator pit was limited to the Head Start Bathroom and hallway area, the girl’s locker room and the hallway outside Head Start Room 1.  They will also clear, inspect and make any repairs necessary to the drain located in the driveway. The remaining work in the Head Start Classrooms and Head Start Hallway, as we understand it, should be completed by the School District’s Maintenance Department.",closed,3/27/12,YES,,
Pilgrim Baptist (Franklin Annex),7282,1,11/3/2010,Hallway adjacent to Room PB2,,Remove or encapsulate the water-stained and damaged asbestos-containing textured ceiling (approximately 160 square feet) according to the Philadelphia Asbestos Control Regulations (ACR).  ,Mold/Moisture,M,Abatement Complete per KEM.,closed,12/1/2010,YES,,
Pilgrim Baptist (Franklin Annex),7282,2,11/3/2010,Roof over Room PB2,,Conduct an evaluation of the roof and associated roof drains to determine the current condition and repair as necessary.,Mold/Moisture,M,This location is no longer leased by the School District.,closed,7/28/11,YES,,
Pilgrim Baptist (Franklin Annex),7282,3,11/3/2010,Room PB2,,Clean the water stains on the cinderblock walls.,Mold/Moisture,F,This location is no longer leased by the School District.,closed,7/28/11,YES,,
Pilgrim Baptist (Franklin Annex),7282,4,11/3/2010,Room PB2,,Remove or encapsulate the water-stained and damaged asbestos-containing textured ceiling (approximately 10 square feet) according to the Philadelphia Asbestos Control Regulations (ACR).  ,Mold/Moisture,M,Abatement Complete per KEM.,closed,12/1/2010,YES,,
PLA- South,8460,1,11/15/13,Building Wide,,No environmental concerns associated with the discoloration on the ceilings were identified.  This appears to be more of esthetic condition and could be HEPA vacuumed and encapsulated with a stain blocker on as needed basis. ,Mold/Moisture,OEMS,"Occupants reported concerns regarding possible mold growth on the ceilings located throughout the building.  Following evaluation of several locations, the discoloration on the ceilings appeared to be particulate from the HVAC supply diffusers.  The particulate was concentrated adjacent to the HVAC supply diffusers.  With the exception of the A-Community, no signs of mold growth, water staining or unusually odors were detected during the evaluation.",open,11/15/13,NO,,
PLA- South,8460,2,11/15/13,HVAC Control System,,Evaluate the HVAC computer control system and restore control to RTU #7. ,Ventilation,M,"The Building Engineer indicated that Roof Top Unit (RTU) #7 that supplies air to the A Community is not responding to the HVAC computer control system.  Condensation and mold growth was reported on the carpeting during the summer in the A Community.  The carpeting was cleaned by Facilities. The A Community was not occupied during the evaluation, however, a Camelot program will be occupying this space in December 2013.",open,11/15/13,NO,,
PLA- South,8460,3,11/15/13,HVAC Control System,,Evaluate the HVAC computer control system and restore control to 43 reheat coils.,Ventilation,M,The Building Engineer indicated that 43 of the 86 reheat coils are not responding to the HVAC computer control system.,open,11/15/13,NO,,
PLA- South,8460,4,11/15/13,Room A-3,,Encapsulate the water stained section of ceiling with a stain blocker.  This location should be monitored for additional staining and reported for evaluation if the staining reoccurs.,Mold/Moisture,F,Staining from either water intrusion or condensation was observed on the ceiling.  It was dry during the evaluation and may have occurred from the reported HVAC condensation issue that occurred over the summer.,open,11/15/13,NO,,
PLA- South,8460,5,11/15/13,Room A-4,,This area of suspect mold growth should be cleaned with a detergent and encapsulated with a stain blocker. ,Mold/Moisture,F,"A small area of suspect mold growth was observed on the wall adjacent to the wall mounted speaker.  Based on the circular pattern, it was assumed to be mold growth.  It was dry during the evaluation and may have occurred from the reported HVAC condensation issue that occurred over the summer.",open,11/15/13,NO,,
Pollock ES,8410,1,9/14/2010,Room 009,,OPEN WORK ORDER: Perform a comprehensive IAQ and Mold/Moisture Assessment in sink base in classroom 009 (WO # 692689).  ,Mold/Moisture,OEMS,KEM performed evaluation 3/22/11. Mold growth was identified in sink base. Remediation was completed on 3/23/2011 per maintenance.,closed,3/23/11,NO,,
Pollock ES,8410,2,3/22/11,Room 009,,Clean the interior of the sink base cabinet with detergent solution and repaint the interior of the cabinet.,Mold/Moisture,F,Closed per Maintenance,closed,3/31/11,NO,,
Pollock ES,8410,3,4/11/11,Boiler Room,,Scrape the flaking paint from the brick and concrete block walls.  The paint should be assumed to contain lead based paint and treated accordingly.  ,Point Source,M,Complete per KEM,closed,5/25/11,NO,,
Pollock ES,8410,4,4/11/11,Boiler Room,,OEMS will develop mold DDC for the mold growth and peeling paint. ,Mold/Moisture,OEMS,KEM performed a site evaluation on 4/12/2011 and  a Mold DDC was submitted to OEMS on 4/15/2011.,closed,4/22/11,NO,,
Pollock ES,8410,5,6/10/11,Boiler Room,,"After the steam leak has been repaired, clean and encapsulate the affected non-asbestos hard fittings exhibiting mold growth. ",Mold/Moisture,M,"Approximately 125 non-asbestos hard fittings were wiped clean with a detergent solution and painted, however mold growth is still visible.  Additionally, mold growth is still present on approximately 40 non-asbestos hard fittings. Completed per Maintenance.",closed,9/26/11,NO,,
Pollock ES,8410,6,6/10/11,Boiler Room,,WO # 649498 has been resubmitted for re-trapping of the building per the BE. Evaluate and repair the faulty traps on the radiators.,Mold/Moisture,M,"According to the Building Engineer, none of the faulty steam traps have been replaced",open,5/25/11,NO,,
Pollock ES,8410,7,6/10/11,Boiler Room,,"Clean all mold growth affected areas on the cinder block walls, concrete beams, support columns, and concrete ceiling with a detergent solution.",Mold/Moisture,M,"Mold growth  on the cinder block walls, concrete beams and concrete ceiling was cleaned.  Several areas of mold growth were still present on  support columns during KEM's follow-up evaluation.",open,9/7/11,NO,,
Pollock ES,8410,8,6/10/11,Boiler Room,,"After the steam leak has been repaired, clean and encapsulate the affected fiberglass pipe insulation exhibiting mold growth. ",Mold/Moisture,M,"Approximately 300 linear feet of fiberglass pipe insulation were wiped clean with a detergent solution and painted, however mold growth is still visible.  Additionally, mold growth is still present on approximately 125 linear feet fiberglass pipe insulation.",open,9/7/11,NO,,
Potter Thomas ES,5390,1,2/5/14,First Floor Community Room,,"An asbestos design data collection (DDC) package was issued on 1/29/14 for the removal of the impacted floor tile.  Following removal, the floor tile should be replaced.",Point Source,M,"A leak occurred on the unit ventilator piping and resulted in loose 9""x9"" floor tile throughout the room. Maintenance reported closed.",closed,4/25/14,YES,,
Potter Thomas ES,5390,2,2/5/14,Room 101,,"An asbestos design data collection (DDC) package was issued on 1/29/14 for the removal of the impacted floor tile.  Following removal, the floor tile should be replaced.",Point Source,M,"A leak occurred on the unit ventilator piping and resulted in loose 9""x9"" floor tile in front of the unit ventilator. Maintenance reported closed.",closed,4/25/14,YES,,
Potter Thomas ES,5390,3,2/5/14,Room 103,,Evaluate and isolate the noise coming from this unit ventilator.,Point Source,F,Excessive vibration and noise was observed coming from unit ventilator in this room. Work order issued for repair 2/2/14.,closed,4/25/14,YES,,
Potter Thomas ES,5390,4,2/5/14,Room 207,,"An asbestos design data collection (DDC) package was issued on 1/29/14 for the removal of the impacted floor tile.  Following removal, the floor tile should be replaced.",Point Source,M,"A leak occurred on the unit ventilator piping and resulted in loose 9""x9"" floor tile in front of the unit ventilator.  Maintenance reported closed.",closed,4/25/14,YES,,
Potter Thomas ES,5390,5,2/5/14,Second Floor Art Room,,"An asbestos design data collection (DDC) package was issued on 1/29/14 for the removal of the impacted floor tile.  Following removal, the floor tile should be replaced.",Point Source,M,"A leak occurred on the unit ventilator piping and resulted in loose 9""x9"" floor tile in front of the unit ventilator. Maintenance reported closed.",closed,4/25/14,YES,,
Powell ES,1390,1,12/15/2010,Small Wooden Trailer,,"Remove, inspect and replace missing, rotted and moldy sections of the exterior sheathing during the construction process.  Damon Gonzaga is the point of contact with Design and Construction.",Mold/Moisture,M,"Closed per KEM, 3/11/11 site inspection.",closed,3/11/11,NO,,
Powell ES,1390,2,12/15/2010,Small Wooden Trailer,,"Remove, inspect and replace water-stained sheetrock around the window sills during the construction process.  Damon Gonzaga is the point of contact with Design and Construction.",Mold/Moisture,M,"Closed per KEM, 3/11/11 site inspection.",closed,3/11/11,NO,,
Powell ES,1390,3,12/15/2010,Small Wooden Trailer,,"Remove, inspect and replace water-stained sheetrock ceiling around the window sills during the construction process.  Damon Gonzaga is the point of contact with Design and Construction.",Mold/Moisture,M,"Closed per KEM, 3/11/11 site inspection.",closed,3/11/11,NO,,
Powell ES,1390,4,12/15/2010,Large Metal Trailer,,Clean and disinfect the identified mold growth (approximately one square foot) on the interior wood paneling under the window.,Mold/Moisture,F,,open,3/11/11,NO,,
Powell ES,1390,5,12/15/2010,Large Metal Trailer,,Clean the heavy particulate loading on the return air grille.,Ventilation,F,,open,3/11/11,NO,,
